Rank,State,Victims
1,California,67095
30,Louisiana,4248
2,Florida,45855
31,Utah,4242
3,Texas,41148
32,Oklahoma,4156
4,New York,29065
33,Arkansas,2745
5,Illinois,17999
34,Kansas,2693
6,Nevada,17706
35,New Mexico,2644
7,Ohio,17510
36,Nebraska,2407
8,Pennsylvania,17262
37,Mississippi,2170
9,Washington,13903
38,West Virginia,2135
10,New Jersey,12817
39,Delaware,2132
11,Arizona,12375
40,District of Columbia,2103
12,Virginia,11785
41,Puerto Rico,1923
13,Georgia,11776
42,Idaho,1882
14,Maryland,11693
43,Alaska,1787
15,Indiana,11399
44,Hawaii,1615
16,Michigan,10930
45,New Hampshire,1487
17,Colorado,10537
46,Maine,1402
18,North Carolina,10363
47,Rhode Island,1205
19,Missouri,9692
48,Montana,1188
20,Massachusetts,9174
49,South Dakota,951
21,Iowa,8853
50,Wyoming,735
22,Wisconsin,8646
51,Vermont,715
23,Kentucky,7148
52,North Dakota,670
24,Tennessee,7129
53,Virgin Islands U.S.,100
25,Oregon,5954
54,U.S. Minor Outlying Islands,93
26,Minnesota,5844
55,Guam,64
27,South Carolina,5426
56,Northern Mariana Islands,29
28,Alabama,5347
57,American Samoa,25
29,Connecticut,4524
